Raza,Hipoalergenico,Vida_Min,Vida_Max,Peso_Macho,Peso_Hembra,Descripcion,Vida_Promedio,Peso_Promedio,Longevidad,Tamaño,Aptitud
Pyrenean Mastiff,No,10,12,100,90,"The Pyrenean Mastiff is a large and powerful breed of dog from the Pyrenees Mountains of Spain. They are strong, intelligent, and loyal, and make great family pets. Pyrenean Mastiffs have a thick, double coat that is usually white with black or brown markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",11.0,95.0,Media,Gigante,Compañía
Pyrenean Shepherd,No,12,15,15,15,"The Pyrenean Shepherd is a small and agile breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",13.5,15.0,Alta,Mediano,Guardián
Rafeiro do Alentejo,No,12,14,60,60,"The Rafeiro do Alentejo is a large and powerful breed of dog that was originally bred in Portugal for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.0,60.0,Media,Gigante,Guardián
Rat Terrier,No,14,16,6,6,"The Rat Terrier is a small-sized breed of dog that was originally bred for hunting rats and other small rodents. They are energetic and playful, and make excellent companion dogs.",15.0,6.0,Alta,Pequeño,Cazador
Redbone Coonhound,No,12,14,30,30,"The Redbone Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,30.0,Media,Grande,Cazador
Rhodesian Ridgeback,No,12,14,41,41,"The Rhodesian Ridgeback is a large and athletic breed of dog that was originally bred in Zimbabwe for hunting large game. They are intelligent, independent, and loyal, and make excellent companion dogs.",13.0,41.0,Media,Grande,Cazador
Romanian Carpathian Shepherd,No,12,14,65,60,"The Romanian Carpathian Shepherd is a large, powerful dog breed that was originally bred for protecting livestock. They are known for their protective natures and strong work ethic.",13.0,62.5,Media,Gigante,Guardián
Romanian Mioritic Shepherd Dog,No,12,14,50,50,"The Romanian Mioritic Shepherd Dog is a large, fluffy breed that is known for its intelligence, loyalty, and protective nature. This breed is native to the Carpathian Mountains in Romania, where it was originally used to guard flocks of sheep.",13.0,50.0,Media,Gigante,Guardián
Rottweiler,No,8,10,60,55,"The Rottweiler is a large and powerful breed of dog that was originally bred in Germany for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",9.0,57.5,Corta,Gigante,Guardián
Russell Terrier,No,12,14,7,7,"The Russell Terrier is a small breed of terrier that originated in England. It is a lively and energetic breed, with a short, wire-haired coat. Its head is small and pointed, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Russell Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,7.0,Media,Pequeño,Compañía
Russian Toy,No,12,14,3,3,"The Russian Toy is a small yet sturdy breed with a compact body and a short, smooth coat. They have a lively, active temperament and are an ideal companion for families and for those looking for a small, loyal, and loving pet. The Russian Toy is an intelligent breed that is easy to train and loves to please its owners.",13.0,3.0,Media,Pequeño,Compañía
Russian Tsvetnaya Bolonka,No,14,16,5,5,"The Russian Tsvetnaya Bolonka is a small and playful breed of dog that was originally bred in Russia as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,5.0,Alta,Pequeño,Compañía
Saint Bernard,No,8,10,110,110,"The Saint Bernard is a large, powerful dog breed with a thick, long coat that is typically red and white or brown and white in color. They are known for their strength, stamina, and gentleness, and were originally bred to help monks at the Great St. Bernard Hospice in the Swiss Alps.",9.0,110.0,Corta,Gigante,General
Saluki,No,12,14,30,30,"The Saluki is a graceful and elegant breed, originating in the Middle East. They are a sight hound, and have a long, sleek coat in a variety of colors. They are highly intelligent, and have an independent nature. They are a fast breed, and have a long stride, and can be used for racing and coursing. They are loyal and devoted to their family, and make good companions.",13.0,30.0,Media,Grande,Compañía
Samoyed,No,12,14,30,30,"The Samoyed is a large and fluffy breed of dog that was originally bred in Siberia for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent family pets.",13.0,30.0,Media,Grande,Guardián
Schapendoes,No,12,15,20,20,"The Schapendoes is a small and agile breed of dog that was originally bred in the Netherlands for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",13.5,20.0,Alta,Mediano,Guardián
Schipperke,No,15,17,7,7,"The Schipperke is a small breed of dog from Belgium. These dogs are small in size, with a thick double coat of fur. They have a lively and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",16.0,7.0,Alta,Pequeño,Cazador
Scottish Deerhound,No,8,10,50,50,"The Scottish Deerhound is a large breed of sighthound that originated in Scotland. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Scottish Deerhound is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",9.0,50.0,Corta,Gigante,Compañía
Scottish Terrier,No,12,15,10,9,"The Scottish Terrier is a small, sturdy breed with a wiry coat and a distinctive beard. It is known for its independent and intelligent nature.",13.5,9.5,Alta,Pequeño,General
Sealyham Terrier,No,12,14,10,10,"The Sealyham Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.0,10.0,Media,Pequeño,Cazador
Segugio Italiano,No,12,15,30,30,"The Segugio Italiano is a medium-sized breed of dog that was originally bred in Italy for hunting small game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",13.5,30.0,Alta,Grande,Cazador
Shetland Sheepdog,No,12,15,14,14,"The Shetland Sheepdog is a small, agile breed with a long, thick coat. They have a long head and a medium-sized muzzle, with bright, alert eyes and a lively expression. Shetland Sheepdogs are known for their intelligence, eagerness to please, and devoted loyalty to their owners. They make excellent family pets and are also used in agility, obedience, and herding events.",13.5,14.0,Alta,Mediano,Compañía
Shiba Inu,No,12,15,10,10,"The Shiba Inu is a small and agile breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.",13.5,10.0,Alta,Pequeño,Cazador
Shih Tzu,No,14,16,7,7,"The Shih Tzu is a small and playful breed of dog that was originally bred in China as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,7.0,Alta,Pequeño,Compañía
Shikoku,No,12,15,22,22,"The Shikoku is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",13.5,22.0,Alta,Mediano,Cazador
Siberian Husky,No,12,14,27,23,"The Siberian Husky is a medium-sized working dog from Siberia. They are known for their thick, double coat, which can be black, white, grey, or red and white in color. Siberian Huskies are friendly, outgoing, and loyal, and make great family pets. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",13.0,25.0,Media,Mediano,Compañía
Silky Terrier,No,12,15,7,7,"The Silky Terrier is a small, sturdy terrier breed known for its soft, silky coat. They have a lively and alert personality, and are very loyal and affectionate towards their family. Silky Terriers are active and require regular exercise and mental stimulation to remain healthy and happy. They are intelligent and eager to please, and make great family pets.",13.5,7.0,Alta,Pequeño,Compañía
Skye Terrier,No,12,15,8,8,"The Skye Terrier is a small breed of terrier from the Isle of Skye in Scotland. These dogs are small in size, with a long and wiry coat of fur. They have a dignified and independent demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",13.5,8.0,Alta,Pequeño,Cazador
Sloughi,No,12,14,30,30,"The Sloughi is a large and athletic breed of dog that was originally bred in North Africa for hunting. They are intelligent, independent, and athletic, and make excellent companion dogs.",13.0,30.0,Media,Grande,Cazador
Slovakian Wirehaired Pointer,No,12,15,35,35,"The Slovakian Wirehaired Pointer is a medium-sized breed of dog that was originally bred in Slovakia for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,35.0,Alta,Grande,Cazador
Slovensky Cuvac,No,12,14,40,40,"The Slovensky Cuvac is a large and powerful breed of dog that was originally bred in Slovakia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",13.0,40.0,Media,Grande,Guardián
Slovensky Kopov,No,12,14,30,30,"The Slovensky Kopov is a medium-sized, athletic breed that is known for its keen senses, endurance, and versatility. This breed is native to Slovakia, where it was originally used for hunting and guarding.",13.0,30.0,Media,Grande,Cazador
Small Munsterlander,No,12,15,20,20,"The Small Munsterlander is a medium-sized breed with a dense, water-resistant coat. It is known for its intelligence and versatility as a hunting and working dog.",13.5,20.0,Alta,Mediano,Cazador
Smooth Fox Terrier,No,12,15,7,7,"The Smooth Fox Terrier is a small breed of terrier from England. These dogs are small in size, with a short and smooth coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",13.5,7.0,Alta,Pequeño,Cazador
Soft Coated Wheaten Terrier,Sí,12,15,25,25,"The Soft Coated Wheaten Terrier is a medium-sized breed of dog that was originally bred in Ireland for herding and guarding livestock. They are intelligent, playful, and energetic, and make excellent companion dogs.",13.5,25.0,Alta,Mediano,Guardián
Spanish Mastiff,No,8,10,110,100,"The Spanish Mastiff is a large and powerful breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",9.0,105.0,Corta,Gigante,Guardián
Spanish Water Dog,No,12,14,22,22,"The Spanish Water Dog is a medium-sized breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",13.0,22.0,Media,Mediano,Guardián
Spinone Italiano,No,12,14,35,35,"The Spinone Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a thick, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Spinone Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.0,35.0,Media,Grande,Compañía
Stabyhoun,No,12,15,25,25,"The Stabyhoun is a small hunting breed that originated in the Netherlands. It is an intelligent and loyal breed that is friendly and eager to please. The Stabyhoun stands between 17-19 inches at the shoulder and has a medium-length coat that comes in black, white, and orange.",13.5,25.0,Alta,Mediano,Cazador
Staffordshire Bull Terrier,No,12,14,17,17,"The Staffordshire Bull Terrier is a small and powerful breed of dog that was originally bred in England for bull baiting. They are intelligent, loyal, and protective, and make excellent companion dogs.",13.0,17.0,Media,Mediano,Guardián
Standard Schnauzer,Sí,12,15,22,22,"The Standard Schnauzer is a medium-sized German working dog. They are intelligent, active, and loyal, and make great family pets. Standard Schnauzers have a distinctive wiry coat that can be black, salt-and-pepper, or black-and-silver in color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",13.5,22.0,Alta,Mediano,Compañía
Sussex Spaniel,No,12,15,27,27,"The Sussex Spaniel is a medium-sized breed of spaniel from the Sussex region of England. These dogs are medium in size, with a long and wavy coat of fur. They have a gentle and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",13.5,27.0,Alta,Grande,Guardián
Swedish Lapphund,No,12,14,20,20,"The Swedish Lapphund is a medium-sized breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",13.0,20.0,Media,Mediano,Guardián
Swedish Vallhund,No,12,15,16,16,"The Swedish Vallhund is a small and energetic breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent working dogs.",13.5,16.0,Alta,Mediano,Guardián
Taiwan Dog,No,12,15,15,15,"The Taiwan Dog is a small and agile breed of dog that was originally bred in Taiwan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",13.5,15.0,Alta,Mediano,Cazador
Teddy Roosevelt Terrier,No,12,15,11,11,"The Teddy Roosevelt Terrier is a small breed of terrier that originated in the United States. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Teddy Roosevelt Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",13.5,11.0,Alta,Mediano,Compañía
Thai Ridgeback,No,12,14,25,25,The Thai Ridgeback is a medium-sized breed of dog that originated in Thailand. It is an active and intelligent breed that is loyal and devoted to its family. The Thai Ridgeback stands between 20-24 inches at the shoulder and has a short to medium-length coat that comes in various colors.,13.0,25.0,Media,Mediano,Compañía
Tibetan Mastiff,No,10,12,90,90,"The Tibetan Mastiff is a powerful, muscular breed that is known for its courage, independence, and fierce loyalty. This breed is native to the Tibetan Plateau, where it was originally used to guard monasteries and protect flocks of sheep.",11.0,90.0,Media,Gigante,Guardián
Tibetan Spaniel,No,14,16,7,7,"The Tibetan Spaniel is a small breed of spaniel from Tibet. These dogs are small in size, with a short and silky coat of fur. They have a cheerful and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to protect their family and property. They are loyal and devoted to their family, but can be stubborn and independent at times.",15.0,7.0,Alta,Pequeño,Guardián
Tibetan Terrier,No,14,16,8,8,"The Tibetan Terrier is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",15.0,8.0,Alta,Pequeño,Compañía
Tornjak,No,12,14,70,70,"The Tornjak is a large and powerful breed of dog that was originally bred in Croatia for herding livestock and guarding the home. They are intelligent, loyal, and protective, and make excellent guard dogs.",13.0,70.0,Media,Gigante,Guardián
Tosa,No,8,12,80,80,"The Tosa is a large and powerful breed of dog that was originally bred for dog fighting in Japan. They are loyal and protective, and make excellent guard dogs.",10.0,80.0,Corta,Gigante,Guardián
Toy Fox Terrier,No,14,16,3,3,"The Toy Fox Terrier is a small and energetic breed of dog that was originally bred in the United States for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15.0,3.0,Alta,Pequeño,Cazador
Transylvanian Hound,No,12,14,30,30,"The Transylvanian Hound is a large and powerful breed of dog that was originally bred in Romania for hunting large game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",13.0,30.0,Media,Grande,Cazador
Treeing Tennessee Brindle,No,12,14,30,30,"The Treeing Tennessee Brindle is a medium-sized breed of dog that was originally bred in the United States for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,30.0,Media,Grande,Cazador
Treeing Walker Coonhound,No,12,14,30,30,"The Treeing Walker Coonhound is a medium-sized hound breed that was developed by crossing the English and American Foxhounds. It is an active and energetic breed that is friendly, loyal, and intelligent. The Treeing Walker Coonhound stands between 22-27 inches at the shoulder and has a short to medium-length coat that comes in various colors and patterns.",13.0,30.0,Media,Grande,General
Vizsla,No,12,15,30,30,"The Vizsla is a medium-sized breed of dog that was originally bred in Hungary for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.5,30.0,Alta,Grande,Cazador
Volpino Italiano,No,12,15,6,6,"The Volpino Italiano is an Italian spitz-type breed that is closely related to the Pomeranian. They are a small and lively breed, with an alert and spirited personality. They are very loyal, loving, and affectionate, and make wonderful family pets. Volpinos are active and require plenty of exercise and walks, so they are well suited to active households. They have a thick, white double coat and can be prone to matting and tangling if not groomed properly.",13.5,6.0,Alta,Pequeño,Compañía
Weimaraner,No,12,14,30,30,"The Weimaraner is a large, powerful breed with a short, thick coat. They have a long, elegant head with a deep muzzle and a strong jaw. Weimaraners are an intelligent, active breed with a friendly, loyal nature and are often used in agility, obedience, and hunting events.",13.0,30.0,Media,Grande,Cazador
Welsh Springer Spaniel,No,12,15,25,25,"The Welsh Springer Spaniel is a medium-sized breed of dog that originated in Wales. They have a short, dense coat, and come in a variety of colors. They are an active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",13.5,25.0,Alta,Mediano,Compañía
Welsh Terrier,No,12,15,9,9,"The Welsh Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.5,9.0,Alta,Pequeño,Cazador
West Highland White Terrier,No,12,15,7,7,"The West Highland White Terrier is a small, energetic breed that is known for its intelligence, independence, and tenacity. This breed is native to the Scottish Highlands, where it was originally used to hunt small game and rodents.",13.5,7.0,Alta,Pequeño,Cazador
Wetterhoun,No,12,14,30,30,"The Wetterhoun is a large, muscular dog breed with a thick, wavy coat that is typically black, brown, or fawn in color. They are known for their intelligence, loyalty, and strength, and were originally bred to hunt waterfowl in the Netherlands.",13.0,30.0,Media,Grande,Cazador
Whippet,No,12,15,15,15,"The Whippet is a medium-sized dog breed with a slender, athletic build and a short, smooth coat that is typically blue, red, or fawn in color. They are known for their speed, grace, and agility, and were originally bred to hunt small game, such as rabbits, by sight.",13.5,15.0,Alta,Mediano,Cazador
Wire Fox Terrier,No,12,15,7,7,"The Wire Fox Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",13.5,7.0,Alta,Pequeño,Cazador
Wirehaired Pointing Griffon,No,12,14,27,27,"The Wirehaired Pointing Griffon is a medium-sized breed of dog that was originally bred in Belgium for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",13.0,27.0,Media,Grande,Cazador
Wirehaired Vizsla,No,12,15,30,30,"The Wirehaired Vizsla is a medium-sized breed of retrieving dog from Hungary. These dogs are medium in size, with a wiry coat of fur. They have a friendly and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",13.5,30.0,Alta,Grande,Guardián
Working Kelpie,No,12,15,20,20,"The Working Kelpie is a medium-sized breed of herding dog that originated in Australia. It is an active and energetic breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Working Kelpie is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",13.5,20.0,Alta,Mediano,Compañía
Xoloitzcuintli,Sí,12,15,15,15,"The Xoloitzcuintli, also known as the Mexican Hairless Dog, is a small and intelligent breed of dog that was originally bred in Mexico for hunting and guarding. They are loyal, alert, and affectionate, and make excellent companion dogs.",13.5,15.0,Alta,Mediano,Cazador
Yakutian Laika,No,12,15,30,30,"The Yakutian Laika is a medium-sized breed of dog that was originally bred in Siberia for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",13.5,30.0,Alta,Grande,Cazador
Yorkshire Terrier,No,12,15,3,3,"The Yorkshire Terrier is a small, intelligent dog breed with a long, silky coat that is typically blue and tan in color. They are known for their feisty, independent nature and their affectionate personalities, and were originally bred to hunt rats and other vermin in the textile mills of Yorkshire, England.",13.5,3.0,Alta,Pequeño,Cazador
